REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,600,,,,0
2007/2008,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,630,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,576,,,,0
2009/2010,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,699,,,,0
2010/2011,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,819,,,,0
2011/2012,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,894,,,,0
2012/2013,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1044,,,,0
2013/2014,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1032,,,,0
2014/2015,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1128,,,,0
2015/2016,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1188,,,,0
2016/2017,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1269,,,,0
2017/2018,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1509,,,,0
2018/2019,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,1740,,,,0
2019/2020,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,2082,,,,0
2020/2021,Newfoundland and Labrador,2016A000210,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v114785712,2.2.1.5.1.1.3.1,2124,,,,0
