REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,11202,,,,0
2007/2008,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,11874,,,,0
2008/2009,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,12201,,,,0
2009/2010,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,12804,,,,0
2010/2011,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,13533,,,,0
2011/2012,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,14175,,,,0
2012/2013,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,15438,,,,0
2013/2014,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,16542,,,,0
2014/2015,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,18399,,,,0
2015/2016,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,18945,,,,0
2016/2017,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,19326,,,,0
2017/2018,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,20370,,,,0
2018/2019,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,21459,,,,0
2019/2020,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,22815,,,,0
2020/2021,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,22530,,,,0
2021/2022,Quebec,2016A000224,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54416100,6.2.1.5.1.1.3.1,23706,,,,0
2006/2007,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,18078,,,,0
2007/2008,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,18240,,,,0
2008/2009,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,18972,,,,0
2009/2010,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,21210,,,,0
2010/2011,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,23064,,,,0
2011/2012,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,25587,,,,0
2012/2013,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,28503,,,,0
2013/2014,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,31482,,,,0
2014/2015,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,35766,,,,0
2015/2016,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,40140,,,,0
2016/2017,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,44796,,,,0
2017/2018,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,50277,,,,0
2018/2019,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,56457,,,,0
2019/2020,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,64695,,,,0
2020/2021,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,70155,,,,0
2021/2022,Ontario,2016A000235,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54523809,7.2.1.5.1.1.3.1,73461,,,,0
