REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2544,,,,0
2007/2008,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2310,,,,0
2008/2009,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2157,,,,0
2009/2010,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2112,,,,0
2010/2011,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2154,,,,0
2011/2012,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2211,,,,0
2012/2013,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,2553,,,,0
2013/2014,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,3093,,,,0
2014/2015,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,3603,,,,0
2015/2016,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4164,,,,0
2016/2017,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4599,,,,0
2017/2018,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,4911,,,,0
2018/2019,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,5418,,,,0
2019/2020,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,6162,,,,0
2020/2021,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,6810,,,,0
2021/2022,Manitoba,2016A000246,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v65211339,8.2.1.5.1.1.3.1,7287,,,,0
2006/2007,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1164,,,,0
2007/2008,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1143,,,,0
2008/2009,Saskatchewan,2016A000247,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54526512,9.2.1.5.1.1.3.1,1125,,,,0
