"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8780","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8800","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","","..","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","","..","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","","..","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8800","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8800","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8800","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","9680","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","9680","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","9680","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","12606","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","12606","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","12606","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427501","2.2","8780","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427501","2.2","8800","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427501","2.2","8800","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427501","2.2","8800","","","","0"
