"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","12330","","","","0"
"2007/2008","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","12551","","","","0"
"2008/2009","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","13196","","","","0"
"2009/2010","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","14868","","","","0"
"2010/2011","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","15999","","","","0"
"2011/2012","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","16362","","","","0"
"2012/2013","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","16670","","","","0"
"2013/2014","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","17491","","","","0"
"2014/2015","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","18348","","","","0"
"2015/2016","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","20269","","","","0"
"2016/2017","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","20576","","","","0"
"2017/2018","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","21182","","","","0"
"2018/2019","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","22618","","","","0"
"2019/2020","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","24275","","","","0"
"2020/2021","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","26054","","","","0"
"2021/2022","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","27311","","","","0"
"2022/2023","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","29703","","","","0"
"2023/2024","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","32319","","","","0"
"2024/2025","Quebec","2016A000224","Total, field of study","Current dollars","75","units","0","v1001414718","6.19","34258","","","","0"
"2006/2007","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","11489","","","","0"
"2007/2008","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","12072","","","","0"
"2008/2009","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","13102","","","","0"
"2009/2010","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","13753","","","","0"
"2010/2011","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","14462","","","","0"
"2011/2012","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","14562","","","","0"
"2012/2013","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","14562","","","","0"
"2013/2014","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","14950","","","","0"
"2014/2015","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","15341","","","","0"
"2015/2016","Quebec","2016A000224","Education","Current dollars","75","units","0","v62427546","6.1","15654","","","","0"
