"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","8800","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Current dollars","75","units","0","v1001399418","2.11","11460","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Dentistry","Current dollars","75","units","0","v1073542410","2.12","","..","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","8800","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","11460","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","11460","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","11460","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427498","2.14","11460","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","8800","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","","..","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","","..","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","9680","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","9680","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","12606","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","12606","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","12606","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427499","2.15","12606","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073542411","2.16","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073542411","2.16","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073542411","2.16","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073542411","2.16","","..","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427500","2.17","8780","","","","0"
