"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","9122","","","","0"
"2007/2008","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","8457","","","","0"
"2008/2009","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","9690","","","","0"
"2009/2010","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","11166","","","","0"
"2010/2011","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","11754","","","","0"
"2011/2012","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","11815","","","","0"
"2012/2013","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","12287","","","","0"
"2013/2014","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","12588","","","","0"
"2014/2015","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","12995","","","","0"
"2015/2016","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","14385","","","","0"
"2016/2017","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","14550","","","","0"
"2017/2018","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","14616","","","","0"
"2018/2019","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","15546","","","","0"
"2019/2020","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","16179","","","","0"
"2020/2021","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","17055","","","","0"
"2021/2022","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","17760","","","","0"
"2022/2023","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","18405","","","","0"
"2023/2024","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","18928","","","","0"
"2024/2025","Manitoba","2016A000246","Total, field of study","Current dollars","75","units","0","v1001414720","8.19","19872","","","","0"
