"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","15564","","","","0"
"2007/2008","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","16463","","","","0"
"2008/2009","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","15378","","","","0"
"2009/2010","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","16195","","","","0"
"2010/2011","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","17170","","","","0"
"2011/2012","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","18195","","","","0"
"2012/2013","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","16989","","","","0"
"2013/2014","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","17865","","","","0"
"2014/2015","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","18983","","","","0"
"2015/2016","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","20527","","","","0"
"2016/2017","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","21761","","","","0"
"2017/2018","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","24261","","","","0"
"2018/2019","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","25717","","","","0"
"2019/2020","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","27281","","","","0"
"2020/2021","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","28342","","","","0"
"2021/2022","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","31095","","","","0"
"2022/2023","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","33115","","","","0"
"2023/2024","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","35469","","","","0"
"2024/2025","British Columbia","2016A000259","Total, field of study","Current dollars","75","units","0","v1001414723","11.19","37184","","","","0"
"2006/2007","British Columbia","2016A000259","Education","Current dollars","75","units","0","v62427483","11.1","15383","","","","0"
"2007/2008","British Columbia","2016A000259","Education","Current dollars","75","units","0","v62427483","11.1","16039","","","","0"
"2008/2009","British Columbia","2016A000259","Education","Current dollars","75","units","0","v62427483","11.1","13872","","","","0"
