Sum of VALUE,Column Labels,,,
Row Labels,Alberta,Manitoba,Saskatchewan,Grand Total
2006/2007,2469,2544,1164,6177
2007/2008,2676,2310,1143,6129
2008/2009,2853,2157,1125,6135
2009/2010,3312,2112,1329,6753
2010/2011,3804,2154,1386,7344
2011/2012,4437,2211,1632,8280
2012/2013,5019,2553,1809,9381
2013/2014,5538,3093,2004,10635
2014/2015,6081,3603,2220,11904
2015/2016,6210,4164,2490,12864
2016/2017,6501,4599,2478,13578
2017/2018,7101,4911,2361,14373
2018/2019,7980,5418,2586,15984
2019/2020,8580,6162,3192,17934
2020/2021,9174,6810,3297,19281
2021/2022,9852,7287,3177,20316
Grand Total,91587,62088,33393,187068
