REF_DATE,GEO,DGUID,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,Selected statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2006/2007,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,7425,,,,0
2007/2008,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,7650,,,,0
2008/2009,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,8976,,,,0
2009/2010,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,11121,,,,0
2010/2011,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,12399,,,,0
2011/2012,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,14736,,,,0
2012/2013,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,15858,,,,0
2013/2014,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,18438,,,,0
2014/2015,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,20067,,,,0
2015/2016,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,21837,,,,0
2016/2017,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,23625,,,,0
2017/2018,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,25716,,,,0
2018/2019,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,26811,,,,0
2019/2020,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,28827,,,,0
2020/2021,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,29091,,,,0
2021/2022,British Columbia,2016A000259,University,"Total, registration status",Bachelor's or equivalent,"Total, field of study ","Total, gender",International students,Number,Number,223,units,0,v54502148,11.2.1.5.1.1.3.1,28674,,,,0
